client_id,first_name,last_name,gender,date_of_birth,city,state,country,annual_income,risk_profile,account_open_date,age,income_bracket
1,Advik,Maharaj,Male,1958-02-25,Ahmedabad,Gujarat,India,2354301,Low,2018-05-19,68,Upper Middle
2,Isaac,Dewan,Male,1967-12-09,Hyderabad,Telangana,India,566612,Low,2020-08-26,58,Middle
3,Chameli,Sami,Female,1967-06-30,Madurai,Tamil Nadu,India,1967971,Medium,2018-03-25,59,Upper Middle
4,Alexander,Chander,Male,1968-02-21,Coimbatore,Tamil Nadu,India,354515,Medium,2017-01-10,58,Low
5,Kamala,Tiwari,Female,1988-04-19,Udaipur,Rajasthan,India,2106182,High,2020-03-16,38,Upper Middle
6,Ira,Saini,Female,1981-05-21,Ahmedabad,Gujarat,India,3311337,High,2016-12-08,45,Upper Middle
7,Vanya,Mall,Female,1971-05-10,Nashik,Maharashtra,India,3475376,Low,2020-03-27,55,Upper Middle
8,Fariq,Sami,Male,1969-04-05,Bhopal,Madhya Pradesh,India,883470,Low,2016-08-06,57,Middle
9,Maya,Dugal,Female,1991-05-17,New Delhi,Delhi,India,3488729,Low,2022-04-11,35,Upper Middle
10,Om,Chaudry,Male,1983-03-24,Mysuru,Karnataka,India,2539572,Medium,2020-02-24,43,Upper Middle
11,Sachi,Chatterjee,Female,1971-03-09,Indore,Madhya Pradesh,India,1670719,Medium,2018-01-24,55,Upper Middle
12,Orinder,Lalla,Male,1962-01-29,Hyderabad,Telangana,India,769241,Low,2022-08-05,64,Middle
13,Veda,Yadav,Female,1988-06-04,Kolkata,West Bengal,India,2069852,High,2017-03-23,38,Upper Middle
14,Ranbir,Brar,Male,1973-12-21,Madurai,Tamil Nadu,India,4149128,Low,2018-08-11,52,Upper Middle
15,Nandini,Pathak,Female,1969-10-10,Madurai,Tamil Nadu,India,2504036,Medium,2025-11-17,56,Upper Middle
16,Gopal,Boase,Male,1982-03-19,Bhopal,Madhya Pradesh,India,1460410,Medium,2026-04-23,44,Upper Middle
17,Jhalak,Mann,Female,1995-08-19,Mumbai,Maharashtra,India,1642026,Medium,2017-04-07,30,Upper Middle
18,Jackson,Chaudhuri,Male,1980-12-26,Indore,Madhya Pradesh,India,4226287,Medium,2017-11-04,45,Upper Middle
19,Maya,Setty,Female,1955-08-22,Vadodara,Gujarat,India,3153598,Low,2022-12-15,70,Upper Middle
20,Finn,Prabhakar,Male,2005-02-19,Mysuru,Karnataka,India,4499220,Medium,2022-09-10,21,Upper Middle
21,Henry,Loke,Male,1995-12-27,New Delhi,Delhi,India,1655171,Medium,2022-07-13,30,Upper Middle
22,Harinakshi,Walla,Female,1974-07-02,Bhopal,Madhya Pradesh,India,1238414,High,2017-09-13,52,Upper Middle
23,Gautami,Shere,Female,1989-09-20,Chennai,Tamil Nadu,India,960662,Low,2020-08-26,36,Middle
24,Krishna,Kanda,Male,1996-08-02,Surat,Gujarat,India,4286957,High,2022-12-10,29,Upper Middle
25,Baghyawati,Karnik,Female,1991-10-04,New Delhi,Delhi,India,1987377,Medium,2022-01-02,34,Upper Middle
26,Nakul,Rattan,Male,1971-11-23,Kolkata,West Bengal,India,1315056,Low,2017-01-12,54,Upper Middle
27,Bachittar,Kakar,Male,1967-10-03,Kolkata,West Bengal,India,2230342,Medium,2021-01-15,58,Upper Middle
28,Nakul,Kala,Male,1991-06-03,Ahmedabad,Gujarat,India,563510,High,2026-02-19,35,Middle
29,Rudra,Shanker,Male,1987-07-31,Hyderabad,Telangana,India,4371951,Low,2024-12-24,38,Upper Middle
30,Kevin,Dewan,Male,1989-11-07,Bhopal,Madhya Pradesh,India,3714666,Low,2018-12-01,36,Upper Middle
31,Karan,Sangha,Male,1977-12-12,Udaipur,Rajasthan,India,4217686,High,2020-09-06,48,Upper Middle
32,Ryan,Pathak,Male,1980-01-18,Ahmedabad,Gujarat,India,1216615,Low,2026-05-31,46,Upper Middle
33,Ekapad,Upadhyay,Male,1996-12-01,Hyderabad,Telangana,India,1839209,Low,2020-03-20,29,Upper Middle
34,Chakradev,Batta,Male,1970-05-23,Rajkot,Gujarat,India,724365,Medium,2024-11-18,56,Middle
35,Ganga,Dutta,Female,1994-12-10,Surat,Gujarat,India,4373853,Medium,2018-05-09,31,Upper Middle
36,Bhavika,Rajan,Female,1981-07-08,Pune,Maharashtra,India,3575095,Low,2023-09-02,45,Upper Middle
37,Vinaya,Wadhwa,Female,1960-10-03,New Delhi,Delhi,India,4382495,Low,2022-12-24,65,Upper Middle
38,Abdul,Contractor,Male,1967-10-09,Chennai,Tamil Nadu,India,811349,Medium,2020-10-06,58,Middle
39,Kiaan,Oak,Male,1972-10-13,Nashik,Maharashtra,India,1620641,Low,2025-08-15,53,Upper Middle
40,Manan,Saran,Male,1967-06-09,Bengaluru,Karnataka,India,2273033,Medium,2018-05-21,59,Upper Middle
41,Vasana,Aggarwal,Female,1966-06-02,Indore,Madhya Pradesh,India,3816713,Medium,2019-03-06,60,Upper Middle
42,Zashil,Gokhale,Male,1963-02-04,New Delhi,Delhi,India,2302242,Low,2020-12-19,63,Upper Middle
43,Chatresh,Misra,Male,1985-06-01,New Delhi,Delhi,India,378143,Medium,2025-02-14,41,Low
44,Hardik,Dua,Male,1973-02-26,Surat,Gujarat,India,1411126,High,2025-02-14,53,Upper Middle
45,Gaurika,Zacharia,Female,1987-04-19,Coimbatore,Tamil Nadu,India,3975758,High,2022-11-06,39,Upper Middle
46,Aadi,Naik,Male,1962-10-04,Indore,Madhya Pradesh,India,2811370,High,2025-07-05,63,Upper Middle
47,Adya,Choudhury,Female,1998-05-12,Mysuru,Karnataka,India,4940776,Low,2024-10-19,28,Upper Middle
48,Nikita,Khatri,Female,1960-01-21,Indore,Madhya Pradesh,India,2007898,Medium,2022-08-30,66,Upper Middle
49,Kavya,Brar,Female,1989-06-11,Hyderabad,Telangana,India,1074255,Medium,2017-06-21,37,Upper Middle
50,Watika,Biswas,Female,1984-05-03,Mumbai,Maharashtra,India,2497440,Low,2017-12-11,42,Upper Middle
51,Dev,Dave,Male,1970-07-08,Hyderabad,Telangana,India,1238466,Low,2025-07-20,56,Upper Middle
52,Fitan,Lanka,Male,1981-09-14,Hyderabad,Telangana,India,4934916,Low,2024-07-28,44,Upper Middle
53,Siddharth,Kakar,Male,1982-06-19,Nagpur,Maharashtra,India,3301521,Low,2025-06-18,44,Upper Middle
54,Harish,Muni,Male,1955-10-03,Vadodara,Gujarat,India,3708940,High,2025-08-30,70,Upper Middle
55,Ridhi,Sarma,Female,1993-12-07,Chennai,Tamil Nadu,India,507923,Low,2023-04-11,32,Middle
